Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
39,male,3,free,little,little,3249,36,car,good
20,female,2,rent,quite rich,no_account,2221,15,furniture/equipment,good
40,male,2,own,little,no_account,1585,24,furniture/equipment,good
29,male,1,own,little,little,3590,12,furniture/equipment,good
26,female,2,own,no_account,moderate,1715,30,radio/TV,good
53,male,2,own,no_account,no_account,2424,24,radio/TV,good
22,male,1,rent,little,moderate,276,9,car,good
31,male,1,own,moderate,moderate,9857,36,business,good
30,male,1,own,little,no_account,2028,24,furniture/equipment,good
36,male,3,own,little,no_account,1278,24,radio/TV,good
52,male,2,own,little,no_account,717,12,radio/TV,good
43,male,1,own,little,no_account,1533,18,furniture/equipment,bad
29,male,2,rent,little,little,11816,45,business,bad
35,male,0,own,no_account,moderate,1549,9,car,good
46,female,1,own,little,rich,2251,12,furniture/equipment,good
24,female,1,own,little,little,1228,12,car,bad
38,male,2,own,little,no_account,5954,30,radio/TV,good
32,male,2,own,little,no_account,701,12,education,good
45,male,2,own,little,no_account,10875,36,car,good
40,male,1,own,little,moderate,1155,12,radio/TV,good
32,male,3,own,little,little,1880,18,radio/TV,good
42,male,1,own,little,no_account,1503,4,radio/TV,good
50,male,2,own,little,no_account,2241,21,furniture/equipment,good
26,female,2,own,little,no_account,3181,24,radio/TV,good
24,male,2,own,little,no_account,1800,18,radio/TV,good
42,male,2,own,little,no_account,3331,12,furniture/equipment,good
50,female,1,own,little,rich,1047,6,education,good
37,female,2,own,little,little,609,6,car,good
28,male,2,own,little,moderate,1068,6,radio/TV,good
35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
28,male,3,rent,little,moderate,9398,36,car,bad
31,male,2,own,no_account,little,6350,30,furniture/equipment,bad
20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
27,male,1,own,little,no_account,802,14,car,good
32,female,2,own,little,moderate,2528,27,business,good
55,male,2,free,rich,no_account,1555,12,repairs,bad
41,male,2,own,no_account,moderate,3979,48,radio/TV,good
44,male,2,rent,quite rich,little,2647,6,radio/TV,good
35,male,1,own,moderate,little,4380,18,car,good
29,male,2,own,little,little,5179,36,furniture/equipment,bad
28,female,2,own,moderate,no_account,2073,12,radio/TV,good
25,male,1,rent,little,no_account,2210,10,furniture/equipment,bad
29,female,2,own,little,moderate,959,9,furniture/equipment,bad
32,female,3,own,little,moderate,18424,48,vacation/others,bad
32,male,1,own,rich,no_account,4526,27,furniture/equipment,good
42,male,2,own,quite rich,no_account,522,12,radio/TV,good
42,male,3,own,little,no_account,10366,60,car,good
29,male,2,own,little,no_account,2743,28,radio/TV,good
26,male,2,rent,little,rich,2687,15,business,good
32,male,1,own,little,moderate,1301,18,radio/TV,good
39,male,2,own,no_account,little,2212,20,furniture/equipment,good
35,female,2,own,no_account,little,1381,24,car,bad
22,male,2,free,little,little,3149,24,furniture/equipment,good
33,male,1,own,moderate,little,727,12,radio/TV,bad
24,female,2,rent,little,little,1207,24,car,bad
38,male,3,own,little,no_account,7814,24,car,good
27,male,2,own,moderate,moderate,1995,12,car,good
27,male,1,own,little,no_account,2708,15,furniture/equipment,good
31,male,2,own,little,no_account,1360,15,radio/TV,good
24,female,2,rent,little,no_account,1554,6,radio/TV,good
39,female,1,own,no_account,moderate,932,6,education,good
26,male,3,own,quite rich,no_account,3235,24,radio/TV,good
38,male,3,free,little,little,10623,30,car,good
36,male,2,own,no_account,moderate,2181,30,car,good
33,male,2,own,no_account,no_account,3074,9,radio/TV,good
27,male,3,free,no_account,moderate,9157,60,radio/TV,good
35,male,2,rent,moderate,no_account,1204,6,car,good
60,male,2,own,rich,no_account,1940,24,car,good
39,male,2,own,little,no_account,1473,18,radio/TV,good
35,female,3,own,little,no_account,1393,11,car,good
30,male,2,own,moderate,moderate,5866,18,car,good
34,female,2,own,little,no_account,4454,36,radio/TV,good
41,male,3,own,no_account,no_account,6313,24,car,good
28,female,2,rent,little,little,1403,15,car,good
25,male,2,own,little,no_account,1262,12,radio/TV,good
45,female,1,own,little,rich,3049,18,furniture/equipment,good
34,male,2,own,rich,moderate,3496,30,furniture/equipment,good
25,female,3,own,little,little,8065,36,education,bad
24,female,2,own,little,no_account,2788,15,furniture/equipment,good
47,male,1,own,little,little,731,8,car,good
34,female,2,own,rich,no_account,1525,24,car,good
30,male,2,own,no_account,moderate,2028,12,car,good
33,male,2,own,little,rich,6289,42,business,good
37,male,3,own,no_account,rich,3399,12,radio/TV,good
33,female,3,own,little,rich,1474,12,furniture/equipment,good
33,male,1,own,little,little,2579,12,car,bad
24,male,2,own,moderate,moderate,6560,48,car,bad
61,male,1,rent,moderate,moderate,2767,21,business,bad
36,male,2,own,little,little,1372,12,car,bad
22,female,2,rent,moderate,no_account,2301,9,furniture/equipment,good
27,female,0,own,little,little,750,18,education,bad
38,male,2,own,no_account,no_account,3914,48,business,bad
24,female,2,own,no_account,no_account,874,15,domestic appliances,good
26,female,2,own,little,no_account,1453,18,radio/TV,good
47,male,2,own,quite rich,no_account,1213,15,radio/TV,good
23,female,2,rent,little,rich,392,15,education,good
33,female,2,own,little,no_account,2831,30,radio/TV,good
55,female,3,own,no_account,rich,1424,12,furniture/equipment,good
34,male,2,own,little,moderate,5800,36,car,good
43,male,2,rent,little,little,4843,12,car,bad
27,male,1,own,moderate,no_account,4139,24,business,good
27,male,3,own,little,no_account,6314,24,vacation/others,good
44,male,2,free,quite rich,no_account,10127,48,car,bad
23,male,2,own,little,moderate,15672,48,business,bad
51,male,3,free,little,little,1164,8,vacation/others,good
26,female,2,rent,little,no_account,1388,9,furniture/equipment,good
46,male,2,own,little,little,2348,36,furniture/equipment,good
24,male,2,own,quite rich,no_account,2569,39,car,good
45,female,2,own,little,moderate,2329,7,radio/TV,good
39,female,2,own,little,little,860,6,car,good
31,male,2,own,little,no_account,2775,18,car,bad
48,male,2,free,no_account,no_account,9277,24,car,good
37,male,2,free,little,no_account,1819,36,education,bad
23,male,2,rent,little,little,4110,24,furniture/equipment,bad
34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
44,male,1,own,little,moderate,6204,18,repairs,good
43,male,2,own,little,no_account,1935,12,furniture/equipment,good
23,female,2,rent,little,no_account,7127,36,furniture/equipment,bad
30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
29,female,2,own,no_account,little,915,24,car,bad
29,male,2,own,no_account,no_account,1169,18,radio/TV,good
22,female,2,rent,little,little,1858,12,furniture/equipment,good
55,male,2,own,rich,no_account,1413,12,car,good
60,male,3,own,no_account,moderate,6468,20,car,good
37,male,1,own,no_account,no_account,3565,12,education,good
60,male,2,own,little,little,2246,12,furniture/equipment,bad
30,male,3,free,no_account,no_account,12680,21,car,bad
41,male,2,own,little,rich,2116,6,furniture/equipment,good
40,male,3,own,little,little,3857,30,car,good
66,female,1,own,quite rich,moderate,790,9,radio/TV,good
25,male,0,own,little,little,2473,18,furniture/equipment,bad
34,male,3,own,little,no_account,6614,36,car,good
23,female,2,rent,little,no_account,2146,10,furniture/equipment,good
39,male,1,own,moderate,moderate,1037,12,business,good
39,male,2,free,no_account,rich,1271,15,radio/TV,bad
29,female,2,own,little,little,3499,12,car,bad
40,male,3,own,moderate,no_account,4623,15,education,bad
53,male,3,free,little,little,7865,12,furniture/equipment,bad
35,male,2,own,no_account,no_account,976,12,radio/TV,good
23,female,2,rent,no_account,little,1200,12,education,good
39,male,2,free,little,little,10297,48,car,bad
47,male,2,own,little,moderate,2353,21,car,good
29,female,2,own,little,little,3959,15,car,bad
41,female,3,rent,little,no_account,3868,24,car,good
24,male,2,free,little,little,4605,48,car,bad
26,female,2,own,little,no_account,763,12,furniture/equipment,good
48,male,2,own,little,little,1024,24,radio/TV,bad
37,male,2,own,moderate,moderate,3878,24,car,good
25,female,2,own,little,no_account,5771,30,radio/TV,good
24,male,1,rent,little,little,3021,24,furniture/equipment,good
49,male,2,own,little,moderate,8386,30,furniture/equipment,bad
25,male,2,rent,moderate,moderate,1264,15,car,bad
36,male,2,own,moderate,no_account,2872,24,radio/TV,good
39,male,3,own,little,moderate,11938,24,vacation/others,bad
44,female,3,free,little,moderate,12579,24,car,bad
66,male,0,free,quite rich,rich,1480,12,car,good
40,male,2,own,no_account,no_account,3077,30,radio/TV,good
37,male,2,own,little,rich,2100,18,radio/TV,bad
62,male,2,own,quite rich,no_account,1338,6,domestic appliances,good
28,male,2,own,moderate,rich,1323,6,car,good
57,female,2,rent,rich,little,3622,30,furniture/equipment,good
24,female,3,own,moderate,moderate,7408,60,car,bad
42,male,2,free,moderate,no_account,1346,6,radio/TV,good
33,male,1,rent,little,moderate,2384,36,repairs,bad
39,male,1,own,no_account,no_account,9436,54,car,good
34,female,1,free,little,moderate,1837,24,education,bad
44,male,2,free,little,no_account,5507,24,repairs,good
28,female,2,own,little,no_account,1817,18,furniture/equipment,good
63,male,2,own,no_account,no_account,1520,15,furniture/equipment,good
31,male,2,own,moderate,no_account,3621,24,radio/TV,bad
24,male,2,rent,little,moderate,2323,36,radio/TV,good
35,male,2,own,moderate,no_account,2141,12,radio/TV,good
35,male,2,own,moderate,no_account,4151,24,furniture/equipment,good
25,male,2,own,no_account,no_account,3105,24,radio/TV,good
54,male,2,own,little,little,3051,48,domestic appliances,bad
33,male,2,own,little,no_account,2051,18,radio/TV,good
35,male,1,rent,moderate,no_account,1418,10,car,good
32,male,2,own,moderate,no_account,2848,10,car,good
31,male,2,own,moderate,moderate,6148,20,car,good
28,male,2,own,little,little,1108,12,repairs,bad
68,male,3,own,little,little,14896,6,car,bad
53,female,2,own,little,little,795,12,education,bad
32,male,2,rent,quite rich,no_account,3062,24,furniture/equipment,good
40,male,3,own,little,moderate,7374,18,furniture/equipment,good
20,female,2,own,little,moderate,1967,24,radio/TV,good
23,female,3,own,little,rich,1961,18,car,good
57,male,1,own,little,little,709,12,radio/TV,bad
65,male,0,own,little,little,3394,42,repairs,good
45,male,1,own,quite rich,no_account,1750,6,radio/TV,good
25,male,2,own,no_account,little,8072,30,business,good
27,male,1,own,no_account,no_account,1309,10,car,bad
50,male,2,own,little,no_account,1559,24,business,good
59,female,2,rent,little,moderate,6416,48,business,bad
23,male,2,own,no_account,moderate,1444,15,radio/TV,good
40,male,2,rent,no_account,no_account,7824,28,car,good
25,male,1,own,little,moderate,685,12,car,bad
23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
30,male,3,own,moderate,little,2249,18,car,good
25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
31,female,2,own,little,little,1957,6,radio/TV,good
30,female,2,own,no_account,little,7721,24,furniture/equipment,good
40,male,0,own,little,moderate,3590,18,business,good
57,male,2,free,little,moderate,2225,36,car,bad
25,female,2,own,no_account,moderate,2991,30,radio/TV,good
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
41,male,2,own,moderate,moderate,2503,30,business,good
35,male,1,free,no_account,no_account,9055,36,education,good
27,male,2,own,little,moderate,2820,36,car,bad
39,male,3,rent,little,little,3345,24,furniture/equipment,bad
23,female,2,rent,little,no_account,1236,9,domestic appliances,good
39,male,2,own,little,little,2522,30,radio/TV,good
50,male,2,rent,quite rich,no_account,1236,6,car,good
52,male,1,own,little,little,2315,10,radio/TV,good
43,female,1,own,little,no_account,1459,15,radio/TV,good
24,female,2,own,little,no_account,932,6,radio/TV,good
25,male,2,own,little,moderate,4933,39,radio/TV,bad
23,female,1,own,little,moderate,2101,13,radio/TV,good
22,male,2,free,little,little,3973,14,car,good
41,female,1,own,rich,no_account,250,6,car,good
30,male,3,own,no_account,no_account,11054,36,car,good
23,male,1,rent,no_account,little,1936,18,radio/TV,good
34,male,3,own,moderate,moderate,6850,15,car,bad
34,male,3,free,little,little,2910,24,car,good
31,male,2,own,rich,little,3651,12,car,good
40,female,2,own,no_account,no_account,894,10,education,good
29,female,1,rent,little,little,1659,24,radio/TV,bad
28,male,2,own,little,no_account,776,12,radio/TV,good
60,male,2,free,little,no_account,2032,24,car,good
53,male,2,free,little,little,7119,48,furniture/equipment,bad
24,male,2,own,little,rich,3016,12,radio/TV,good
36,male,2,own,rich,moderate,1913,18,business,good
44,male,2,own,no_account,no_account,3485,20,car,good
66,male,3,own,little,rich,1908,30,business,bad
30,female,2,own,rich,no_account,960,15,furniture/equipment,good
64,female,2,own,little,moderate,753,6,radio/TV,good
32,male,1,own,little,no_account,1231,10,car,good
21,male,2,rent,little,moderate,2779,18,car,good
28,male,3,own,little,moderate,5234,30,car,bad
30,male,2,own,little,no_account,1224,9,car,good
40,male,2,rent,no_account,no_account,1386,15,radio/TV,good
26,male,1,own,moderate,no_account,4272,30,business,good
30,male,2,own,moderate,moderate,3566,48,business,good
45,male,2,free,no_account,no_account,1300,15,car,good
24,female,2,own,little,little,3190,18,radio/TV,bad
43,male,2,free,little,little,1333,24,car,bad
20,male,2,rent,no_account,rich,3617,24,furniture/equipment,good
32,female,1,own,moderate,moderate,931,6,car,bad
20,female,2,rent,rich,no_account,3186,15,car,good
25,male,1,own,little,moderate,866,18,radio/TV,good
23,female,2,own,moderate,no_account,3812,15,car,good
30,female,2,own,little,little,1620,12,furniture/equipment,good
23,female,2,rent,little,little,2406,30,furniture/equipment,bad
37,female,2,own,little,no_account,3380,4,car,good
30,female,2,own,little,no_account,1055,18,car,good
34,male,3,own,moderate,no_account,1591,21,furniture/equipment,good
46,female,1,own,little,no_account,3594,15,car,good
24,male,2,own,no_account,moderate,2030,9,furniture/equipment,good
56,male,2,own,little,no_account,618,12,radio/TV,good
27,male,2,own,moderate,no_account,2463,24,car,good
22,male,2,own,little,moderate,3832,30,furniture/equipment,good
35,male,3,own,little,no_account,2670,24,car,good
49,male,2,own,moderate,rich,1126,9,radio/TV,good
26,female,3,rent,little,no_account,4530,30,radio/TV,good
32,male,2,own,little,moderate,2273,36,education,good
28,male,2,own,little,no_account,1249,24,car,good
34,male,1,free,moderate,moderate,3844,48,business,bad
46,male,2,own,rich,no_account,1582,18,radio/TV,good
36,male,3,own,no_account,no_account,1238,6,education,good
33,female,2,own,little,moderate,3244,18,furniture/equipment,good
31,male,3,free,moderate,moderate,7582,48,vacation/others,good
32,male,2,own,no_account,no_account,2978,24,business,good
26,male,2,own,little,no_account,5117,27,business,good
33,male,3,own,little,moderate,4439,18,business,good
42,male,1,own,little,no_account,1455,4,car,good
45,male,2,free,little,little,7882,42,furniture/equipment,good
43,male,2,rent,little,little,2625,16,car,bad
32,male,2,free,rich,moderate,1136,9,education,bad
37,female,2,own,rich,no_account,1287,24,car,good
32,male,2,own,no_account,no_account,2662,18,car,good
33,male,2,own,little,no_account,1478,15,radio/TV,good
26,male,2,own,no_account,no_account,5248,21,car,good
20,female,1,rent,little,moderate,2718,24,car,bad
46,female,2,rent,little,little,1845,15,furniture/equipment,good
44,male,2,own,quite rich,no_account,2375,24,business,good
27,male,2,own,rich,no_account,5804,24,car,good
28,male,2,own,little,little,5371,36,furniture/equipment,good
23,female,2,rent,no_account,little,8471,18,education,good
27,female,2,rent,no_account,moderate,1924,18,furniture/equipment,bad
48,female,1,rent,little,moderate,1795,18,radio/TV,good
28,male,1,own,little,moderate,484,6,radio/TV,good
43,male,2,own,little,no_account,2515,18,furniture/equipment,good
28,female,2,own,little,no_account,1382,6,radio/TV,good
23,female,2,own,little,rich,1275,10,furniture/equipment,good
26,male,2,own,little,little,1345,18,radio/TV,bad
33,male,2,own,little,no_account,3029,15,car,good
27,male,0,own,rich,rich,709,6,car,good
29,male,3,free,little,little,6579,24,car,good
34,male,2,free,no_account,no_account,6527,60,car,good
30,male,3,rent,little,moderate,2063,6,radio/TV,good
32,male,2,own,moderate,little,2325,24,car,good
33,female,2,own,no_account,moderate,1042,18,car,bad
35,male,2,free,little,no_account,1471,15,radio/TV,good
25,female,2,own,little,no_account,7855,36,car,bad
26,female,1,rent,moderate,moderate,4280,30,business,bad
31,male,2,own,little,little,3104,18,business,good
40,female,2,rent,little,moderate,3001,18,furniture/equipment,good
51,male,2,own,little,no_account,1595,6,radio/TV,good
26,male,2,own,little,little,3414,21,education,bad
37,male,1,own,little,rich,3949,10,car,good
30,female,2,own,little,moderate,918,9,furniture/equipment,bad
38,female,2,own,little,no_account,1533,24,radio/TV,good
61,male,3,free,little,moderate,1953,36,business,bad
23,female,2,own,little,little,1498,12,radio/TV,good
21,male,1,rent,little,little,1987,24,radio/TV,bad
42,male,2,own,little,little,4153,18,furniture/equipment,bad
32,male,2,own,little,moderate,6078,12,car,good
40,male,1,own,little,little,701,12,radio/TV,good
63,male,3,free,no_account,no_account,13756,60,car,good
29,female,3,own,little,no_account,1412,12,business,good
31,male,3,own,no_account,no_account,8947,36,car,good
36,male,2,own,little,moderate,2337,36,radio/TV,good
26,female,3,own,little,no_account,10974,36,furniture/equipment,bad
26,male,2,own,little,no_account,1934,12,radio/TV,good
32,male,2,own,little,little,4583,30,furniture/equipment,good
42,female,2,rent,no_account,moderate,1965,24,car,good
59,male,2,own,little,little,1364,9,radio/TV,good
28,male,2,rent,little,little,6199,12,radio/TV,bad
32,male,3,own,quite rich,no_account,629,18,radio/TV,good
25,female,2,rent,little,no_account,3972,24,furniture/equipment,good
74,male,0,own,little,rich,1299,6,car,good
27,male,2,own,rich,moderate,10961,48,radio/TV,bad
24,female,2,rent,little,little,2124,18,furniture/equipment,bad
37,male,1,own,little,moderate,1154,9,radio/TV,good
21,male,2,rent,little,little,902,12,education,bad
24,male,2,rent,moderate,little,6187,30,car,good
22,female,2,rent,little,no_account,433,18,radio/TV,bad
46,male,2,free,little,little,6331,48,car,bad
40,male,3,own,no_account,little,1977,36,education,bad
48,male,2,own,moderate,little,1288,9,repairs,good
38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
44,male,1,own,no_account,little,4716,6,car,good
40,male,1,own,no_account,little,1647,21,car,bad
29,male,3,rent,moderate,no_account,1901,24,radio/TV,good
24,male,1,own,little,little,2214,12,radio/TV,good
22,female,2,own,little,no_account,1808,18,furniture/equipment,bad
25,female,2,rent,no_account,little,1371,24,car,bad
30,male,2,own,little,little,1602,21,car,good
27,male,2,rent,no_account,no_account,7980,36,business,bad
44,male,2,own,quite rich,no_account,1163,12,car,good
26,male,2,own,moderate,no_account,1311,24,radio/TV,good
23,female,1,rent,little,no_account,601,4,furniture/equipment,good
31,male,1,own,little,little,3108,30,furniture/equipment,bad
27,male,2,own,little,no_account,2613,36,repairs,good
30,male,2,own,little,moderate,7966,26,car,good
32,male,2,own,little,no_account,2697,9,radio/TV,good
31,male,2,own,moderate,moderate,1449,6,business,good
52,male,2,own,quite rich,little,338,6,radio/TV,good
25,female,1,own,moderate,moderate,2631,15,repairs,good
38,male,2,own,no_account,no_account,2751,48,car,good
36,female,1,own,rich,no_account,1572,21,business,good
26,female,0,own,little,rich,609,12,business,bad
23,female,2,own,little,no_account,2288,21,furniture/equipment,good
42,male,2,own,little,little,2577,12,furniture/equipment,good
29,female,2,own,rich,little,3357,21,radio/TV,good
36,male,2,own,no_account,no_account,6304,36,business,good
62,female,2,free,little,no_account,3757,24,car,good
58,female,1,own,little,little,1755,24,vacation/others,good
46,male,2,rent,little,moderate,1223,12,car,bad
47,male,3,own,little,moderate,1209,6,car,bad
31,male,2,own,moderate,no_account,5742,36,business,good
25,female,2,own,little,moderate,1206,9,radio/TV,good
30,male,3,own,quite rich,no_account,2333,30,radio/TV,good
64,male,1,rent,little,little,2384,24,radio/TV,good
41,female,1,rent,no_account,no_account,1244,9,education,good
29,female,2,own,little,no_account,2171,12,radio/TV,good
68,male,2,rent,no_account,no_account,6761,18,car,bad
26,female,2,own,little,rich,3749,24,furniture/equipment,good
66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
24,male,2,own,little,moderate,458,9,radio/TV,good
70,male,3,free,little,moderate,7308,10,car,good
54,male,2,own,rich,moderate,1318,12,car,good
23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
35,male,2,own,no_account,moderate,3976,21,furniture/equipment,good
28,female,3,own,moderate,rich,2923,21,car,good
37,male,2,own,little,rich,1225,10,domestic appliances,good
27,male,2,own,moderate,moderate,4576,45,car,good
45,male,2,own,little,little,2303,24,car,bad
26,female,2,rent,no_account,little,2812,24,car,good
27,male,2,own,little,little,5998,40,education,bad
23,male,1,own,little,moderate,1048,10,radio/TV,good
24,female,2,own,no_account,moderate,8487,48,car,good
40,male,2,own,quite rich,no_account,2675,22,radio/TV,good
32,male,2,own,little,no_account,1530,18,car,bad
26,male,2,own,little,rich,4210,36,radio/TV,bad
40,male,3,own,no_account,little,1358,24,vacation/others,bad
22,male,2,own,little,little,2462,18,furniture/equipment,bad
27,male,2,own,little,little,1053,15,radio/TV,good
34,male,2,own,little,no_account,2759,12,furniture/equipment,good
36,male,2,own,little,no_account,4165,18,business,bad
47,male,2,own,little,rich,3017,30,radio/TV,good
44,male,2,own,little,little,1478,15,furniture/equipment,good
27,female,2,own,little,moderate,1295,18,furniture/equipment,good
31,male,3,rent,little,no_account,1963,12,radio/TV,good
47,male,1,own,little,moderate,958,12,car,good
23,female,2,own,little,no_account,1943,18,repairs,bad
35,male,2,own,quite rich,little,1680,12,radio/TV,good
32,male,3,free,little,no_account,1505,18,radio/TV,good
35,male,2,own,moderate,no_account,2753,9,radio/TV,good
27,male,1,own,little,moderate,1082,9,radio/TV,good
28,female,1,own,little,rich,745,9,radio/TV,bad
25,male,1,own,little,little,1138,9,radio/TV,good
29,male,2,own,moderate,moderate,2896,24,radio/TV,good
46,male,2,own,rich,no_account,1149,18,radio/TV,good
38,female,0,own,little,no_account,926,12,car,good
42,male,2,free,little,moderate,6288,60,education,bad
49,male,1,own,no_account,little,1262,12,furniture/equipment,good
23,female,1,own,little,little,976,18,car,bad
50,male,3,free,little,little,7476,48,education,good
45,male,1,own,little,little,4006,28,car,bad
58,male,2,rent,little,moderate,15945,54,business,bad
75,female,3,own,no_account,little,1374,6,car,good
44,male,3,rent,little,little,3384,6,furniture/equipment,bad
38,male,3,own,rich,no_account,5711,36,car,good
32,female,2,own,little,no_account,4611,6,furniture/equipment,bad
30,male,3,own,little,moderate,5965,27,car,good
23,male,1,rent,quite rich,no_account,660,6,repairs,good
28,male,2,own,little,no_account,2169,18,business,bad
50,male,2,own,rich,no_account,3777,24,furniture/equipment,good
27,male,2,own,no_account,no_account,1221,6,furniture/equipment,good
52,female,1,own,moderate,no_account,362,6,car,good
61,male,2,free,no_account,moderate,1239,18,education,good
33,male,2,rent,little,rich,2319,21,education,bad
22,female,2,own,moderate,little,741,12,domestic appliances,bad
22,male,2,own,moderate,moderate,1514,15,repairs,good
63,male,2,own,little,little,2924,24,car,good
27,male,2,own,little,little,3552,24,furniture/equipment,bad
25,male,1,own,little,moderate,4746,45,radio/TV,bad
42,male,1,own,little,no_account,1544,4,radio/TV,good
35,male,1,own,little,no_account,4679,24,car,good
25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good
24,female,2,rent,little,little,4308,48,business,bad
28,male,2,own,little,no_account,3595,36,radio/TV,good
20,male,3,rent,little,little,1107,12,radio/TV,good
32,male,2,own,little,no_account,4594,18,radio/TV,good
63,male,2,free,little,rich,781,10,car,good
45,male,3,own,little,little,8978,14,car,bad
60,male,1,own,little,little,1199,24,car,bad
30,male,3,own,little,moderate,4455,36,business,bad
31,female,2,own,moderate,no_account,1532,15,education,good
41,male,2,own,little,little,2712,36,furniture/equipment,bad
54,male,2,free,little,no_account,1597,24,education,good
22,male,2,own,little,no_account,1478,9,radio/TV,bad
27,female,2,own,little,no_account,3609,48,business,good
35,male,2,free,little,little,3386,12,car,bad
24,female,1,rent,no_account,no_account,4811,30,car,good
31,female,2,rent,no_account,no_account,2901,10,car,good
26,male,2,own,little,little,4370,42,radio/TV,bad
27,male,2,own,quite rich,moderate,2326,15,business,good
23,male,0,own,no_account,moderate,14555,6,car,bad
43,female,1,own,rich,no_account,1516,24,radio/TV,good
31,female,2,own,little,little,6758,48,radio/TV,bad
21,female,2,rent,little,little,1049,18,furniture/equipment,good
36,male,3,free,no_account,moderate,12169,48,car,good
28,male,2,free,little,no_account,3343,15,furniture/equipment,good
36,male,3,free,little,little,1872,6,furniture/equipment,good
24,male,2,own,little,little,9271,36,car,bad
38,male,2,own,little,no_account,804,12,radio/TV,good
38,male,2,own,no_account,moderate,368,6,radio/TV,good
38,male,1,own,little,little,708,12,furniture/equipment,good
27,male,1,own,little,little,1168,12,car,good
38,male,2,free,little,rich,947,24,car,bad
33,female,1,rent,no_account,no_account,2186,15,furniture/equipment,good
22,female,1,rent,little,no_account,1258,12,furniture/equipment,good
35,male,2,own,quite rich,moderate,1410,14,business,good
46,male,3,own,no_account,no_account,6842,24,car,good
34,male,2,own,little,little,6999,48,radio/TV,bad
22,female,2,own,little,moderate,1567,12,radio/TV,good
46,male,2,own,little,no_account,2611,24,radio/TV,good
22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad
26,female,2,own,little,moderate,9960,48,furniture/equipment,bad
25,female,1,own,little,moderate,4736,24,furniture/equipment,bad
57,female,1,own,moderate,no_account,1154,11,radio/TV,good
26,female,2,own,quite rich,no_account,1386,12,car,bad
